$6.20e-02$ & $3.35e-02$ & $1.45e-02$ & $3.45e-02$ & $4.00e-02$ & $2.60e-02$ & $2.80e-02$ \\
$4.55e-03$ & $5.63e-02$ & $6.21e-04$ & $3.23e-03$ & $1.46e-03$ & $3.99e-04$ & $5.38e-04$ \\
$1.84e-03$ & $2.74e-03$ & $2.66e-03$ & $5.91e-04$ & $5.00e-04$ & $5.16e-04$ & $1.35e-03$ \\
$7.45e-04$ & $1.62e-03$ & $3.28e-03$ & $5.36e-04$ & $9.08e-04$ & $4.86e-03$ & $6.35e-04$ \\
